iter	Passed	Remaining
0	2	235
1	4	197
2	5	180
3	6	166
4	8	159
5	9	151
6	11	152
7	12	144
8	13	139
9	14	134
10	15	128
11	16	123
12	17	119
13	18	115
14	20	113
15	20	110
16	21	106
17	22	104
18	23	101
19	24	98
20	25	96
21	26	93
22	27	90
23	27	88
24	28	85
25	29	83
26	30	81
27	31	80
28	32	78
29	32	76
30	33	74
31	34	73
32	35	72
33	36	70
34	37	69
35	38	67
36	39	66
37	39	65
38	40	63
39	41	62
40	42	61
41	42	59
42	43	57
43	44	56
44	45	55
45	45	53
46	46	52
47	47	51
48	48	50
49	49	49
50	50	48
51	51	47
52	52	46
53	52	44
54	53	43
55	54	42
56	54	41
57	55	40
58	56	39
59	57	38
60	58	37
61	59	36
62	59	35
63	60	34
64	61	33
65	62	32
66	63	31
67	64	30
68	65	29
69	66	28
70	66	27
71	67	26
72	68	25
73	69	24
74	70	23
75	71	22
76	72	21
77	73	20
78	74	19
79	75	18
80	75	17
81	77	16
82	77	15
83	78	15
84	79	14
85	80	13
86	81	12
87	82	11
88	83	10
89	84	9
90	85	8
91	86	7
92	87	6
93	87	5
94	88	4
95	89	3
96	89	2
97	90	1
98	91	0
99	92	0
